Year,StateANSI,OtherStateANSI,InflowReturns,InflowExemptions,InflowAGI
2011,1,1,1591968,3593492,80792924
2010,1,1,1604990,3609606,79341033
2009,1,1,1632467,3629748,83764352
2008,1,1,1612276,3579529,83887827
2007,1,1,1532800,3443705,78152182
2006,1,1,1507515,3400241,73090981
2005,1,1,1501675,3401484,69502997
2004,1,1,1497828,3396876,65594902
2003,1,1,1499461,3389383,63437492
2002,1,1,1506891,3390671,63342589
2001,1,1,1505759,3392308,63339805
2000,1,1,1497168,3378396,61416356
1999,1,1,1478696,3342311,56633730
1998,1,1,1460439,3322368,53439052
1997,1,1,1447841,3315932,51607827
1996,1,1,1424386,3271520,49296909
1995,1,1,1404958,3249579,44866044
1994,1,1,1390158,3261943,42611147
1993,1,1,1374133,3232884,41638920
2011,1,2,231,578,12028
2010,1,2,209,528,9065
2009,1,2,218,542,10688
2008,1,2,186,476,10876
2007,1,2,176,456,9207
2006,1,2,170,404,6633
2005,1,2,171,422,6919
2004,1,2,155,368,6035
2003,1,2,140,351,5490
2002,1,2,154,388,5665
2001,1,2,138,286,5626
2000,1,2,165,433,6319
1999,1,2,193,531,6957
1998,1,2,163,410,5321
1997,1,2,164,404,5169
1996,1,2,165,407,5774
1995,1,2,244,655,8003
1994,1,2,229,637,7032
1993,1,2,236,642,7453
2011,1,4,534,1248,25581
2010,1,4,465,1005,22913
2009,1,4,496,1089,24243
2008,1,4,528,1077,23123
2007,1,4,483,1019,24570
2006,1,4,505,1182,25176
2005,1,4,397,838,17049
2004,1,4,438,945,18598
2003,1,4,388,807,15488
2002,1,4,390,811,15313
2001,1,4,362,719,15171
2000,1,4,349,731,13171
1999,1,4,374,790,12675
1998,1,4,349,750,11858
1997,1,4,383,841,11656
1996,1,4,384,845,12166
1995,1,4,360,792,10257
1994,1,4,344,810,9834
1993,1,4,355,770,9584
2011,1,5,553,1096,23216
2010,1,5,431,926,18390
2009,1,5,458,970,20048
2008,1,5,456,986,17315
2007,1,5,502,1100,21951
2006,1,5,522,1137,20284
2005,1,5,415,862,18986
2004,1,5,545,1249,20321
2003,1,5,485,1095,19415
2002,1,5,472,1019,19444
2001,1,5,495,1099,18513
2000,1,5,495,1114,19489
1999,1,5,481,1055,17736
1998,1,5,492,1088,16069
1997,1,5,477,1075,14192
1996,1,5,457,985,14845
1995,1,5,497,1108,13473
1994,1,5,439,990,12717
1993,1,5,501,1140,13489
2011,1,6,1541,3192,64665
2010,1,6,1510,3107,65910
2009,1,6,1748,3581,80865
2008,1,6,1726,3556,83006
2007,1,6,1840,3920,83322
2006,1,6,1851,3957,83527
